company_id,company_name,headquarters_country,headquarters_city,founded_year,employee_count,annual_revenue_usd,rpa_platform,cloud_support,ai_integration,process_mining_support,low_code_support,market_share_percent,customer_count,industry_focus,website,global_region
CMP01308,Horizon DataBot48,Australia,Brisbane,2009,73,15785814,Jacada,Yes,Yes,No,Yes,0.007,368,Media & Entertainment,https://www.horizondatabot48.com,Asia-Pacific
CMP01309,ANGAI,Sweden,Malmo,1985,355,132356171,Wipro HOLMES,Yes,Yes,No,Yes,0.035,2494,Oil & Gas,https://www.angai.com,Europe
CMP01310,Digital CognitiveTech,Israel,Jerusalem,2012,38,4074992,TCS BaNCS RPA,Yes,Yes,Yes,Yes,0.048,13,Banking & Financial Services,https://www.digitalcognitivetech.com,Middle East
CMP01311,Apex CognitiveTech,Sweden,Uppsala,2014,299,142456649,Jacada,Partial,No,Yes,No,0.078,774,Media & Entertainment,https://www.apexcognitivetech.com,Europe
CMP01312,BrightIntelli,India,Noida,1985,111,123178367,NICE Robotic Automation,Yes,Partial,No,Yes,0.001,2202,Energy & Utilities,https://www.brightintelli.com,Asia-Pacific
CMP01313,Vector BrainStorm AI,South Africa,Johannesburg,2019,5,1000000,OpenBots,Partial,No,Yes,Yes,0.004,28,Education,https://www.vectorbrainstormai.com,Africa
CMP01314,Unity Neural,Norway,Trondheim,2010,160,55364117,Hansight RPA,Yes,No,Yes,Yes,0.007,441,Transportation & Logistics,https://www.unityneural.com,Europe
CMP01315,RapidIntelli,India,Kolkata,2019,76,5481883,UiPath,Yes,Yes,Yes,Yes,0.005,22,Automotive,https://www.rapidintelli.com,Asia-Pacific
CMP01316,Radiant Bot96,Finland,Helsinki,2018,12,2083328,NICE Robotic Automation,Yes,Yes,Yes,Yes,0.019,43,Life Sciences,https://www.radiantbot96.com,Europe
CMP01317,CAIAI,Thailand,Chiang Mai,2011,49,5811805,WorkFusion,Yes,Yes,Yes,Yes,0.003,16,FMCG & Consumer Goods,https://www.caiai.com,Asia-Pacific
CMP01318,CDSAI,Switzerland,Bern,2019,505,136218596,RoboTask,Yes,Yes,Yes,Yes,0.011,210,Healthcare & Pharmaceuticals,https://www.cdsai.com,Europe
CMP01319,PortDock19,Czech Republic,Prague,1988,98,17602680,AutoHotkey Enterprise,No,Yes,Yes,Yes,0.007,93,Automotive,https://www.portdock19.com,Europe
CMP01320,ARAI,United States,Washington,2024,26,2919239,EdgeVerve AssistEdge,Yes,No,No,Yes,0.014,29,Chemical & Materials,https://www.arai.com,North America
CMP01321,OmegaPulse,United States,New York,2024,7,1055051,VisualCron,Yes,Yes,Yes,No,0.015,44,Healthcare & Pharmaceuticals,https://www.omegapulse.com,North America
CMP01322,Nova ProcessGenius,Brazil,Porto Alegre,2007,21,2206676,Softomotive,Yes,Yes,No,Yes,0.028,9,Technology & IT Services,https://www.novaprocessgenius.com,South America
CMP01323,Sage BrainStorm AI,Brazil,Belo Horizonte,2024,36,3113132,Jidoka RPA,No,Partial,No,No,0.02,13,Legal Services,https://www.sagebrainstormai.com,South America
CMP01324,Genesis Dynamics,China,Suzhou,2016,11,1000000,Softomotive,Yes,Yes,Yes,No,0.007,31,FMCG & Consumer Goods,https://www.genesisdynamics.com,Asia-Pacific
CMP01325,Vector Synth,Rwanda,Kigali,2021,5,1000000,EdgeVerve AssistEdge,Yes,Yes,Yes,No,0.017,47,Professional Services & Consulting,https://www.vectorsynth.com,Africa
CMP01326,Stratos Nexus,Canada,Montreal,2016,19,2217269,Wipro HOLMES,Yes,No,Yes,Yes,0.002,21,Telecommunications,https://www.stratosnexus.com,North America
CMP01327,NDAI,India,Gurugram,2019,44,3742730,Cognizant RPA,Yes,Yes,Yes,Yes,0.011,36,Energy & Utilities,https://www.ndai.com,Asia-Pacific
CMP01328,ERSystems,Ireland,Galway,2022,192,72045312,Appian,Partial,No,Yes,Yes,0.084,461,Education,https://www.ersystems.com,Europe
CMP01329,Elite DataBot,Tanzania,Dodoma,2015,168,22125041,RoboTask,No,Yes,No,Yes,0.022,287,Aerospace & Defense,https://www.elitedatabot.com,Africa
CMP01330,Universal Bots81,Spain,Seville,2008,37,7966608,NICE Robotic Automation,Yes,Yes,No,Yes,0.021,11,Mining & Metals,https://www.universalbots81.com,Europe
CMP01331,Sage Logic,Taiwan,Taipei,2024,26,1088813,Automation Anywhere,Yes,Partial,Yes,No,0.016,9,Oil & Gas,https://www.sagelogic.com,Asia-Pacific
CMP01332,ADAGroup,Germany,Frankfurt,2012,50,8611518,Automation Anywhere,Yes,Yes,No,Yes,0.309,20,Hospitality & Travel,https://www.adagroup.com,Europe
CMP01333,Summit LogicBot,Mexico,Queretaro,2019,57,5376227,Infosys Nia,No,Yes,Yes,No,0.004,5,Life Sciences,https://www.summitlogicbot.com,North America
CMP01334,ECAAI,Canada,Waterloo,2017,287,132846488,Datamatics Truzo,Yes,Partial,No,No,0.111,2225,Energy & Utilities,https://www.ecaai.com,North America
CMP01335,GridCyber,China,Nanjing,2009,43,6491920,Wipro HOLMES,Partial,Yes,Yes,No,0.003,36,Energy & Utilities,https://www.gridcyber.com,Asia-Pacific
CMP01336,Titan BotLogic,Israel,Haifa,2017,5,1000000,Blue Prism (SS&C),Yes,Yes,Yes,Yes,0.004,49,Legal Services,https://www.titanbotlogic.com,Middle East
CMP01337,GateCore,Taiwan,Kaohsiung,2014,232,43551339,MuleSoft RPA,Yes,No,Yes,Yes,0.021,493,Banking & Financial Services,https://www.gatecore.com,Asia-Pacific
CMP01338,Sage Flow,United States,Philadelphia,2012,221,102724959,Botpath,Partial,Yes,Yes,Yes,0.005,465,Retail & E-Commerce,https://www.sageflow.com,North America
CMP01339,PortMeta,China,Hangzhou,2019,149,66931411,VisualCron,Yes,No,No,Yes,0.001,314,Banking & Financial Services,https://www.portmeta.com,Asia-Pacific
CMP01340,Intelligent LogicWorks,Germany,Frankfurt,2019,16,2276674,Laiye,No,Yes,No,Yes,0.011,36,FMCG & Consumer Goods,https://www.intelligentlogicworks.com,Europe
CMP01341,Resolute Digital34,South Africa,Durban,2017,17,2390794,WorkFusion,Yes,Yes,Yes,Yes,0.058,23,Media & Entertainment,https://www.resolutedigital34.com,Africa
CMP01342,GateRobo,Taiwan,Kaohsiung,2022,25,2673089,Appian,Yes,Yes,Yes,Yes,0.002,31,Education,https://www.gaterobo.com,Asia-Pacific
CMP01343,ProcessLink,Australia,Canberra,2010,13,1000000,Robocorp,Yes,Yes,No,Yes,0.014,28,Government & Public Sector,https://www.processlink.com,Asia-Pacific
CMP01344,PCAGroup,United States,Denver,2023,34,2477423,NICE Robotic Automation,Partial,Yes,No,No,0.007,7,Telecommunications,https://www.pcagroup.com,North America
CMP01345,Matrix SmartWorks,New Zealand,Wellington,2019,242,27529214,Wipro HOLMES,Yes,Partial,No,Yes,0.002,437,Government & Public Sector,https://www.matrixsmartworks.com,Asia-Pacific
CMP01346,Global SmartOps,Canada,Calgary,2005,136,42973090,Cognizant RPA,Yes,Yes,Yes,Yes,0.015,189,Transportation & Logistics,https://www.globalsmartops.com,North America
CMP01347,HubNexus,Italy,Milan,2006,33,5114848,RoboTask,Yes,No,No,Yes,0.17,38,Automotive,https://www.hubnexus.com,Europe
CMP01348,FlowCyber,Netherlands,Amsterdam,1987,22,9161071,AntWorks,Yes,Yes,No,Yes,0.001,11,Chemical & Materials,https://www.flowcyber.com,Europe
CMP01349,Eclipse BotSphere,United States,Philadelphia,1994,108,76018596,Jacada,Yes,Yes,Yes,No,0.042,367,Aerospace & Defense,https://www.eclipsebotsphere.com,North America
CMP01350,Blue CogniBot,China,Wuhan,2002,61,3294796,Rocketbot,Yes,Yes,No,No,0.007,17,Life Sciences,https://www.bluecognibot.com,Asia-Pacific
CMP01351,Innovate Automation,Japan,Tokyo,2002,189,99247531,Infosys Nia,Yes,Yes,Yes,No,0.217,107,Legal Services,https://www.innovateautomation.com,Asia-Pacific
CMP01352,Stellar Bots,Japan,Kobe,2008,111,55750629,EdgeVerve AssistEdge,Yes,No,Yes,Yes,0.022,390,Retail & E-Commerce,https://www.stellarbots.com,Asia-Pacific
CMP01353,Emergent Bot,United Kingdom,Cambridge,1998,30,2927181,Laiye,Yes,Partial,Yes,Yes,0.006,35,Transportation & Logistics,https://www.emergentbot.com,Europe
CMP01354,Mega DataBot,India,Hyderabad,2017,194,27148903,AutoHotkey Enterprise,Yes,No,No,Yes,0.035,309,Technology & IT Services,https://www.megadatabot.com,Asia-Pacific
CMP01355,Vector Systems,Mexico,Tijuana,2018,87,10427808,Botpath,Yes,Yes,Yes,Yes,0.007,377,FMCG & Consumer Goods,https://www.vectorsystems.com,North America
CMP01356,NPCorp,United States,San Francisco,2009,195,29471707,MuleSoft RPA,Yes,Yes,Yes,Yes,0.014,155,Oil & Gas,https://www.npcorp.com,North America
CMP01357,Signal Neural,Israel,Haifa,2016,6,1000000,Pega Platform,Yes,Yes,Yes,Yes,0.007,8,FMCG & Consumer Goods,https://www.signalneural.com,Middle East
CMP01358,Global BrainStorm AI,Taiwan,Tainan,2013,59,3946769,Contextor,No,Yes,No,Yes,0.067,32,Energy & Utilities,https://www.globalbrainstormai.com,Asia-Pacific
CMP01359,Zenith ProcessPro,China,Shanghai,2018,72,10391612,Rocketbot,Yes,Partial,Yes,No,0.037,237,Energy & Utilities,https://www.zenithprocesspro.com,Asia-Pacific
CMP01360,Evolution Cognitive,Kenya,Nairobi,2019,15,1214338,Appian,Yes,Yes,Yes,Yes,0.004,35,Mining & Metals,https://www.evolutioncognitive.com,Africa
CMP01361,CAAI,Canada,Mississauga,1985,75,24831883,Datamatics Truzo,Yes,Yes,No,No,0.014,94,Nonprofit & NGO,https://www.caai.com,North America
CMP01362,Infinity ProcessPro,Saudi Arabia,Dammam,2023,9,1000000,Blue Prism (SS&C),Partial,Yes,No,Yes,0.014,29,Telecommunications,https://www.infinityprocesspro.com,Middle East
CMP01363,Vector Flow,India,Gurugram,2015,32,7133408,Contextor,Yes,Partial,Yes,Yes,0.014,47,Chemical & Materials,https://www.vectorflow.com,Asia-Pacific
CMP01364,EdgeAlpha,Israel,Haifa,2016,15,1402124,Kofax RPA,Yes,Yes,Yes,No,0.003,36,Legal Services,https://www.edgealpha.com,Middle East
CMP01365,CPGroup,Sweden,Stockholm,2007,232,156488598,Appian,Partial,Yes,Yes,Yes,0.078,1643,Aerospace & Defense,https://www.cpgroup.com,Europe
CMP01366,SyncFlow,Qatar,Doha,2013,11,1513607,Wipro HOLMES,Yes,Yes,No,Yes,0.037,38,Mining & Metals,https://www.syncflow.com,Middle East
CMP01367,Infinity SmartProcess,United States,Washington,1993,505,104008792,SAP iRPA,Yes,Yes,Yes,Yes,0.003,996,Real Estate,https://www.infinitysmartprocess.com,North America
CMP01368,Zenith IntelliBot35,India,Chennai,2016,438,97721946,Jacada,Yes,No,Yes,No,0.011,235,Government & Public Sector,https://www.zenithintellibot35.com,Asia-Pacific
CMP01369,ANBot,South Africa,Sandton,2024,5,1000000,MuleSoft RPA,No,Partial,Yes,No,0.001,48,Telecommunications,https://www.anbot.com,Africa
CMP01370,NexusCloud,Japan,Osaka,2021,16,2426635,Pega Platform,Yes,Yes,Yes,Yes,0.001,47,Nonprofit & NGO,https://www.nexuscloud.com,Asia-Pacific
CMP01371,Emergent Process,Ireland,Galway,2012,287,36851666,Cognizant RPA,Yes,Yes,No,No,0.027,239,FMCG & Consumer Goods,https://www.emergentprocess.com,Europe
CMP01372,Zephyr LogicWorks,Mexico,Monterrey,2002,16,3278334,Laiye,Yes,Yes,No,No,0.073,33,Insurance,https://www.zephyrlogicworks.com,North America
CMP01373,Uplift Robotics,United States,Atlanta,2023,43,1987105,Cognizant RPA,Yes,No,No,No,0.004,11,Professional Services & Consulting,https://www.upliftrobotics.com,North America
CMP01374,Zenith CognitiveFlow,India,Delhi,2020,5,1000000,Hansight RPA,Yes,Yes,Yes,No,0.001,42,Oil & Gas,https://www.zenithcognitiveflow.com,Asia-Pacific
CMP01375,Pinnacle IntelliProcess,Japan,Kyoto,2024,97,11068575,Automation Anywhere,Yes,Yes,No,No,0.009,477,Insurance,https://www.pinnacleintelliprocess.com,Asia-Pacific
CMP01376,Digital IntelliBot,India,Gurugram,2013,13,2017491,Appian,Yes,Yes,No,Yes,0.003,3,Media & Entertainment,https://www.digitalintellibot.com,Asia-Pacific
CMP01377,Quantum Digital,Japan,Yokohama,2017,67,12014043,AutoHotkey Enterprise,Partial,No,No,Yes,0.019,183,Legal Services,https://www.quantumdigital.com,Asia-Pacific
CMP01378,ForgeBot5,Germany,Frankfurt,2017,16,2551149,OpenBots,Yes,Partial,Yes,Yes,0.003,15,Agriculture & Food Processing,https://www.forgebot5.com,Europe
CMP01379,DataNeuro,Canada,Vancouver,2017,86,12172888,Automation Anywhere,No,No,No,Yes,0.002,96,Transportation & Logistics,https://www.dataneuro.com,North America
CMP01380,Innovate BotForge96,United States,Washington,2005,64,7998527,TCS BaNCS RPA,Yes,Yes,Yes,Yes,0.03,40,Life Sciences,https://www.innovatebotforge96.com,North America
CMP01381,Signal RoboMind,Argentina,Buenos Aires,2010,5,1000000,Kofax RPA,Yes,Yes,Yes,Yes,0.034,49,Agriculture & Food Processing,https://www.signalrobomind.com,South America
CMP01382,RapidCraft,Brazil,Curitiba,2010,164,80433318,UiPath,Yes,Yes,No,No,0.008,185,Legal Services,https://www.rapidcraft.com,South America
CMP01383,Core Tech59,United States,San Jose,2002,100,6386456,VisualCron,Yes,Yes,No,Yes,0.005,47,Legal Services,https://www.coretech59.com,North America
CMP01384,GridLink,Israel,Beersheva,2013,35,3207498,Automation Anywhere,Yes,Yes,No,No,0.1,6,Life Sciences,https://www.gridlink.com,Middle East
CMP01385,RMAI,Brazil,Belo Horizonte,2019,5,1000000,Softomotive,Yes,Yes,No,Yes,0.031,2,Technology & IT Services,https://www.rmai.com,South America
CMP01386,Pinnacle Tech73,United States,Washington,2021,88,11804684,RoboTask,Yes,Yes,Yes,Yes,0.056,485,Banking & Financial Services,https://www.pinnacletech73.com,North America
CMP01387,SyncSpark,Israel,Haifa,2019,8,1000000,Jidoka RPA,Partial,No,Yes,Yes,0.039,22,Oil & Gas,https://www.syncspark.com,Middle East
CMP01388,Catalyst BrainStorm AI,China,Shanghai,2002,292,224859326,Infosys Nia,Yes,Yes,Yes,No,0.013,2777,Real Estate,https://www.catalystbrainstormai.com,Asia-Pacific
CMP01389,Orion IntelliFlow,New Zealand,Wellington,2009,495,123541839,Wipro HOLMES,Yes,Yes,No,Yes,0.008,2662,Media & Entertainment,https://www.orionintelliflow.com,Asia-Pacific
CMP01390,AutoAlpha83,United States,Charlotte,2022,127,52165219,Infosys Nia,Yes,Yes,No,Yes,0.004,95,Healthcare & Pharmaceuticals,https://www.autoalpha83.com,North America
CMP01391,Prime LogicBot,India,Kolkata,2010,68,10541466,AutoHotkey Enterprise,Yes,No,Yes,Yes,0.019,133,Education,https://www.primelogicbot.com,Asia-Pacific
CMP01392,Crest Cybernetic,China,Nanjing,2021,5,1000000,OpenBots,Yes,Yes,Yes,Yes,0.006,45,Healthcare & Pharmaceuticals,https://www.crestcybernetic.com,Asia-Pacific
CMP01393,CNDGroup,Switzerland,Lausanne,2024,343,107088787,Hansight RPA,Partial,Partial,No,Yes,0.007,2082,Oil & Gas,https://www.cndgroup.com,Europe
CMP01394,NCGroup,United Kingdom,London,2013,63,13508703,Automation Anywhere,Partial,Yes,Yes,Yes,0.016,172,Insurance,https://www.ncgroup.com,Europe
CMP01395,HyperBase,United States,Houston,2019,6,1000000,Blue Prism (SS&C),Yes,Yes,Yes,Yes,0.004,10,Government & Public Sector,https://www.hyperbase.com,North America
CMP01396,PrimeQuantum,Chile,Valparaiso,2015,87,13983484,RoboTask,Yes,Partial,No,No,0.002,36,Professional Services & Consulting,https://www.primequantum.com,South America
CMP01397,DNTech,South Africa,Johannesburg,2020,21,1000000,Hansight RPA,No,Yes,No,Yes,0.009,45,Nonprofit & NGO,https://www.dntech.com,Africa
CMP01398,ClearCyber,South Korea,Daejeon,2024,168,56163047,Robocorp,No,Yes,Yes,Yes,0.005,492,Insurance,https://www.clearcyber.com,Asia-Pacific
CMP01399,Advanced Technologies,Switzerland,Bern,2018,133,52634143,AutoHotkey Enterprise,Yes,Yes,No,No,0.026,195,Legal Services,https://www.advancedtechnologies.com,Europe
CMP01400,Digital Technologies,Italy,Turin,2018,227,23343182,Laiye,Yes,Yes,Yes,Yes,0.01,293,Real Estate,https://www.digitaltechnologies.com,Europe
CMP01401,Delta CogniBot9,India,Hyderabad,2007,12,1000000,Infosys Nia,Yes,Partial,Yes,Yes,0.002,48,Chemical & Materials,https://www.deltacognibot9.com,Asia-Pacific
CMP01402,Prime CogniFlow,Japan,Yokohama,2010,18,3172473,Rocketbot,Yes,Partial,No,Yes,0.044,33,Automotive,https://www.primecogniflow.com,Asia-Pacific
CMP01403,DataPulse,Israel,Jerusalem,2022,82,7146611,Botpath,Partial,Partial,Yes,Yes,0.003,24,Insurance,https://www.datapulse.com,Middle East
CMP01404,Sentient BotForge,Switzerland,Geneva,2012,53,11092100,Winautomation,Yes,Yes,Yes,Yes,0.035,270,Agriculture & Food Processing,https://www.sentientbotforge.com,Europe
CMP01405,Delta RoboMind,South Korea,Incheon,2016,79,5309523,AutoHotkey Enterprise,Yes,Partial,No,No,0.002,49,Legal Services,https://www.deltarobomind.com,Asia-Pacific
CMP01406,Emergent AutoPilot29,India,Chennai,2011,165,70970086,Blue Prism (SS&C),Yes,Partial,No,Yes,0.004,152,Retail & E-Commerce,https://www.emergentautopilot29.com,Asia-Pacific
CMP01407,DASystems89,Saudi Arabia,Dammam,2016,12,2264575,Power Automate,No,No,Yes,Yes,0.004,13,Transportation & Logistics,https://www.dasystems89.com,Middle East
CMP01408,Stratos Digital,United States,Chicago,2006,55,3404836,SAP iRPA,Yes,Yes,Yes,Yes,0.001,6,Technology & IT Services,https://www.stratosdigital.com,North America
CMP01409,EGABot,Poland,Warsaw,2017,29,4777718,OpenBots,Yes,Partial,Yes,No,0.001,12,Legal Services,https://www.egabot.com,Europe
CMP01410,Omnis IntelliBot,Italy,Milan,2003,50,14896029,Appian,Yes,Partial,No,No,0.082,335,Insurance,https://www.omnisintellibot.com,Europe
CMP01411,ASBot,United States,San Francisco,2002,202,52530100,Wipro HOLMES,Partial,Yes,Yes,No,0.004,107,Professional Services & Consulting,https://www.asbot.com,North America
CMP01412,SparkBright19,Finland,Turku,1990,50,13284824,WorkFusion,Yes,Yes,Yes,Yes,0.091,499,Professional Services & Consulting,https://www.sparkbright19.com,Europe
CMP01413,Fusion SmartOps,France,Strasbourg,2017,105,51408499,VisualCron,Yes,No,Yes,Yes,0.01,332,Education,https://www.fusionsmartops.com,Europe
CMP01414,Core IntelliBot,United States,Dallas,2017,83,12237593,NICE Robotic Automation,Partial,Partial,Yes,No,0.001,108,Oil & Gas,https://www.coreintellibot.com,North America
CMP01415,Synergy CognitiveFlow,Indonesia,Surabaya,2012,20,2686015,Contextor,Yes,Yes,Yes,No,0.015,26,FMCG & Consumer Goods,https://www.synergycognitiveflow.com,Asia-Pacific
CMP01416,Spark IntelliBot,Germany,Hamburg,2017,13,1000000,Infosys Nia,Yes,Partial,Yes,No,0.003,40,Legal Services,https://www.sparkintellibot.com,Europe
CMP01417,Spark BrainBot,Indonesia,Surabaya,2023,28,4340791,Automation Anywhere,Partial,Partial,No,No,0.013,18,Automotive,https://www.sparkbrainbot.com,Asia-Pacific
CMP01418,BridgeData,Indonesia,Bandung,2018,53,1937898,VisualCron,Yes,No,Yes,No,0.006,11,FMCG & Consumer Goods,https://www.bridgedata.com,Asia-Pacific
CMP01419,Frontier Tech,Spain,Valencia,2014,74,8053191,Botpath,Yes,Yes,Yes,No,0.081,14,Professional Services & Consulting,https://www.frontiertech.com,Europe
CMP01420,Macro Intelligence,United States,Nashville,2017,143,64408391,Contextor,No,Yes,No,No,0.003,96,Mining & Metals,https://www.macrointelligence.com,North America
CMP01421,DockPulse85,India,Pune,2005,291,74812392,UiPath,No,Yes,Yes,Yes,0.003,281,Chemical & Materials,https://www.dockpulse85.com,Asia-Pacific
CMP01422,Prime LogicBot55,France,Nantes,2014,45,1904803,Contextor,Yes,Partial,Yes,No,0.046,37,Automotive,https://www.primelogicbot55.com,Europe
CMP01423,Sentient CognitiveTech26,Japan,Yokohama,1999,40,10162309,VisualCron,Yes,Yes,Yes,Yes,0.002,161,Insurance,https://www.sentientcognitivetech26.com,Asia-Pacific
CMP01424,AlphaGrid,United Arab Emirates,Dubai,2012,18,1189114,Pega Platform,No,Yes,Yes,Yes,0.004,21,Insurance,https://www.alphagrid.com,Middle East
CMP01425,LinkOmega,Norway,Stavanger,2021,82,9825876,Hansight RPA,Partial,Yes,No,Yes,0.001,12,Healthcare & Pharmaceuticals,https://www.linkomega.com,Europe
CMP01426,Kinetic AutoDynamics5,Malaysia,Kuala Lumpur,2000,194,125261311,NICE Robotic Automation,Yes,Yes,Yes,Yes,0.017,1450,Nonprofit & NGO,https://www.kineticautodynamics5.com,Asia-Pacific
CMP01427,Solaris Neural,Mexico,Queretaro,2015,85,7236258,Power Automate,Partial,Partial,No,No,0.001,13,Transportation & Logistics,https://www.solarisneural.com,North America
CMP01428,Radiant CogniFlow,Ireland,Dublin,2007,176,120842760,Contextor,Yes,No,Yes,Yes,0.004,264,Education,https://www.radiantcogniflow.com,Europe
CMP01429,GCGroup,United Kingdom,Birmingham,2020,28,3044005,Power Automate,Yes,No,Yes,Yes,0.083,5,Manufacturing,https://www.gcgroup.com,Europe
CMP01430,SwiftSync,South Korea,Busan,2014,99,19239169,RoboTask,Yes,Yes,Yes,No,0.006,473,Oil & Gas,https://www.swiftsync.com,Asia-Pacific
CMP01431,SmartPort,Israel,Jerusalem,2015,13,1000000,Jacada,Yes,Yes,Yes,Yes,0.005,18,Transportation & Logistics,https://www.smartport.com,Middle East
CMP01432,Atlas AutoDynamics,Taiwan,Hsinchu,2014,16,3390502,Appian,Yes,Yes,Yes,Yes,0.001,18,Transportation & Logistics,https://www.atlasautodynamics.com,Asia-Pacific
CMP01433,ProcessPrime,United States,Dallas,2007,105,64195913,Hansight RPA,Yes,Yes,No,Yes,0.008,214,Nonprofit & NGO,https://www.processprime.com,North America
CMP01434,Signal Process,Japan,Tokyo,2011,90,17372445,Botpath,Yes,No,Yes,Yes,0.028,92,Construction & Engineering,https://www.signalprocess.com,Asia-Pacific
CMP01435,Crest AutoMate,United States,Nashville,2013,226,128789952,Winautomation,Yes,Yes,Yes,No,0.018,1564,Professional Services & Consulting,https://www.crestautomate.com,North America
CMP01436,Matrix AutoBrain,United Kingdom,Oxford,2010,252,43359508,Jidoka RPA,Yes,Yes,Yes,No,0.009,225,Life Sciences,https://www.matrixautobrain.com,Europe
CMP01437,Velocity Automate,United States,Denver,2000,162,71653439,EdgeVerve AssistEdge,Yes,Yes,Yes,Yes,0.006,302,Banking & Financial Services,https://www.velocityautomate.com,North America
CMP01438,SwiftCloud,Malaysia,Johor Bahru,2018,17,3235852,Appian,Yes,Yes,Yes,No,0.027,41,Professional Services & Consulting,https://www.swiftcloud.com,Asia-Pacific
CMP01439,Mega RoboTech,India,Chennai,2018,23,4563586,Appian,Yes,Partial,No,Yes,0.004,36,Education,https://www.megarobotech.com,Asia-Pacific
CMP01440,RoboGrid,Poland,Wroclaw,2018,59,9098864,Contextor,Yes,Yes,Yes,No,0.003,43,Healthcare & Pharmaceuticals,https://www.robogrid.com,Europe
CMP01441,Catalyst Workforce,Taiwan,Taipei,2014,98,4432509,OpenBots,Yes,Yes,Yes,Yes,0.002,16,Technology & IT Services,https://www.catalystworkforce.com,Asia-Pacific
CMP01442,Meridian CogniBot,Ireland,Limerick,2024,163,26194446,Winautomation,Yes,Yes,Yes,Yes,0.001,129,Life Sciences,https://www.meridiancognibot.com,Europe
CMP01443,MESystems,Denmark,Copenhagen,2018,75,4930388,AntWorks,Partial,Yes,Yes,Yes,0.019,44,Government & Public Sector,https://www.mesystems.com,Europe
CMP01444,SparkSync57,Japan,Sapporo,2019,5,1000000,UiPath,Yes,Partial,No,Yes,0.004,24,Agriculture & Food Processing,https://www.sparksync57.com,Asia-Pacific
CMP01445,Blue BotForge,Czech Republic,Brno,2005,197,156532396,Softomotive,Yes,No,No,No,0.16,779,Chemical & Materials,https://www.bluebotforge.com,Europe
CMP01446,Everest Digital17,Ghana,Tamale,2017,7,1050651,MuleSoft RPA,Partial,Partial,Yes,Yes,0.01,37,Oil & Gas,https://www.everestdigital17.com,Africa
CMP01447,OmegaClear,India,Pune,2024,89,5421337,HelpSystems Automate,Yes,Yes,Yes,Yes,0.035,5,Manufacturing,https://www.omegaclear.com,Asia-Pacific
CMP01448,GatePulse,Singapore,Singapore,2017,242,34805473,AutoHotkey Enterprise,Partial,Yes,No,Yes,0.004,442,Professional Services & Consulting,https://www.gatepulse.com,Asia-Pacific
CMP01449,HyperBridge93,Israel,Tel Aviv,2013,14,2740064,HelpSystems Automate,Partial,Partial,Yes,Yes,0.003,13,Government & Public Sector,https://www.hyperbridge93.com,Middle East
CMP01450,PAGroup,Japan,Kyoto,2004,20,2027424,Wipro HOLMES,Yes,No,No,Yes,0.009,1,Real Estate,https://www.pagroup.com,Asia-Pacific
CMP01451,Everest DataBot,Mexico,Tijuana,2008,69,12824040,UiPath,Yes,No,No,Yes,0.001,275,Retail & E-Commerce,https://www.everestdatabot.com,North America
CMP01452,Vortex Synth,United States,Dallas,2016,89,9516324,Datamatics Truzo,Yes,Partial,No,Yes,0.005,26,Life Sciences,https://www.vortexsynth.com,North America
CMP01453,Everest AutoPilot,South Korea,Daegu,2016,30,6015002,Datamatics Truzo,Yes,Yes,No,Yes,0.02,32,Professional Services & Consulting,https://www.everestautopilot.com,Asia-Pacific
CMP01454,Resolute SmartWorks,United States,Denver,2017,54,7109342,RoboTask,Yes,Yes,Yes,Yes,0.016,1,Aerospace & Defense,https://www.resolutesmartworks.com,North America
CMP01455,Radiant Systems,Germany,Frankfurt,1996,879,400133110,Jacada,Yes,Yes,Yes,Yes,0.133,2454,FMCG & Consumer Goods,https://www.radiantsystems.com,Europe
CMP01456,Optima BotForge,Switzerland,Bern,1986,11,2304182,Datamatics Truzo,No,Partial,Yes,No,0.007,21,Insurance,https://www.optimabotforge.com,Europe
CMP01457,Nexus Workforce,Netherlands,Utrecht,2016,416,69179962,Jacada,Yes,Yes,No,No,0.002,116,Insurance,https://www.nexusworkforce.com,Europe
CMP01458,Vector IntelliFlow,Spain,Valencia,2016,238,110939035,AntWorks,Yes,Partial,Yes,Yes,0.007,433,Mining & Metals,https://www.vectorintelliflow.com,Europe
CMP01459,Solaris Automation,Japan,Osaka,2011,168,96525429,MuleSoft RPA,Yes,Yes,Yes,Yes,0.021,226,Aerospace & Defense,https://www.solarisautomation.com,Asia-Pacific
CMP01460,CDAI,China,Nanjing,2011,136,71138548,Datamatics Truzo,No,Yes,Yes,Yes,0.005,317,Oil & Gas,https://www.cdai.com,Asia-Pacific
CMP01461,BridgePrime,Australia,Canberra,2022,83,12632631,Botpath,Yes,Partial,No,Yes,0.007,194,Transportation & Logistics,https://www.bridgeprime.com,Asia-Pacific
CMP01462,Signal SmartWorks75,India,Noida,2018,17,2960421,Appian,Yes,Yes,No,Yes,0.004,19,Technology & IT Services,https://www.signalsmartworks75.com,Asia-Pacific
CMP01463,Universal Logic,Chile,Valparaiso,2015,43,4735921,EdgeVerve AssistEdge,Yes,Yes,No,Yes,0.054,39,Chemical & Materials,https://www.universallogic.com,South America
CMP01464,Sage BotSphere,Germany,Dusseldorf,2013,208,88788758,Laiye,Partial,Partial,No,Yes,0.005,229,Oil & Gas,https://www.sagebotsphere.com,Europe
